,Symbol,Description,Category,UniProt ID,GIFtS,GC id,Score
1825,YTHDF2,YTH N6-Methyladenosine RNA Binding Protein F2,Protein Coding,Q9Y5A9,44,GC01P029588,13.38
1826,TUBA1B,Tubulin Alpha 1b,Protein Coding,P68363,50,GC12M049127,13.38
1827,CTTN,Cortactin,Protein Coding,Q14247,50,GC11P070398,13.38
1828,CXCL1,C-X-C Motif Chemokine Ligand 1,Protein Coding,P09341,49,GC04P073869,13.38
1829,LALBA,Lactalbumin Alpha,Protein Coding,P00709,45,GC12M048567,13.37
1830,PTH1R,Parathyroid Hormone 1 Receptor,Protein Coding,Q03431,57,GC03P046877,13.37
1831,MED23,Mediator Complex Subunit 23,Protein Coding,Q9ULK4,50,GC06M131573,13.37
1832,GRM1,Glutamate Metabotropic Receptor 1,Protein Coding,Q13255,57,GC06P145973,13.37
1833,LORICRIN,Loricrin Cornified Envelope Precursor Protein,Protein Coding,P23490,41,GC01P154615,13.36
1834,EPB41L1,Erythrocyte Membrane Protein Band 4.1 Like 1,Protein Coding,Q9H4G0,49,GC20P036091,13.36
1835,EPRS1,Glutamyl-Prolyl-TRNA Synthetase 1,Protein Coding,P07814,50,GC01M219969,13.36
1836,HDLBP,High Density Lipoprotein Binding Protein,Protein Coding,Q00341,48,GC02M241227,13.36
1837,PACSIN2,Protein Kinase C And Casein Kinase Substrate In Neurons 2,Protein Coding,Q9UNF0,48,GC22M042835,13.35
1838,NCOR1,Nuclear Receptor Corepressor 1,Protein Coding,O75376,50,GC17M016029,13.35
1839,MXI1,"MAX Interactor 1, Dimerization Protein",Protein Coding,P50539,48,GC10P110208,13.35
1840,ACTN4,Actinin Alpha 4,Protein Coding,O43707,53,GC19P038647,13.35
1841,AP2S1,Adaptor Related Protein Complex 2 Subunit Sigma 1,Protein Coding,P53680,49,GC19M046838,13.35
1842,PIK3CB,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Beta",Protein Coding,P42338,54,GC03M138652,13.34
1843,TAF6,TATA-Box Binding Protein Associated Factor 6,Protein Coding,P49848,48,GC07M103955,13.34
1844,GPRC6A,G Protein-Coupled Receptor Class C Group 6 Member A,Protein Coding,Q5T6X5,43,GC06M116793,13.34
1845,STIM1,Stromal Interaction Molecule 1,Protein Coding,Q13586,56,GC11P004268,13.34
1846,KRT5,Keratin 5,Protein Coding,P13647,53,GC12M052514,13.33
1847,TEK,TEK Receptor Tyrosine Kinase,Protein Coding,Q02763,58,GC09P027109,13.33
1848,GPIHBP1,Glycosylphosphatidylinositol Anchored High Density Lipoprotein Binding Protein 1,Protein Coding,Q8IV16,44,GC08P143213,13.32
1849,VKORC1,Vitamin K Epoxide Reductase Complex Subunit 1,Protein Coding,Q9BQB6,55,GC16M040943,13.32
1850,CSNK1E,Casein Kinase 1 Epsilon,Protein Coding,P49674,54,GC22M068437,13.32
1851,IFITM1,Interferon Induced Transmembrane Protein 1,Protein Coding,P13164,47,GC11P002802,13.32
1852,PPP6R1,Protein Phosphatase 6 Regulatory Subunit 1,Protein Coding,Q9UPN7,43,GC19M080166,13.32
1853,RPA3,Replication Protein A3,Protein Coding,P35244,47,GC07M008790,13.32
1854,PON1,Paraoxonase 1,Protein Coding,P27169,54,GC07M095297,13.31
1855,ETV6,ETS Variant Transcription Factor 6,Protein Coding,P41212,53,GC12P011649,13.31
1856,PSMC6,"Proteasome 26S Subunit, ATPase 6",Protein Coding,P62333,46,GC14P052707,13.31
1857,PSMD4,"Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 4",Protein Coding,P55036,50,GC01P154485,13.31
1858,POMP,Proteasome Maturation Protein,Protein Coding,Q9Y244,47,GC13P028659,13.3
1859,RAB8A,"RAB8A, Member RAS Oncogene Family",Protein Coding,P61006,46,GC19P016111,13.3
1860,CUL4B,Cullin 4B,Protein Coding,Q13620,50,GC0XM120524,13.3
1861,TRPV4,Transient Receptor Potential Cation Channel Subfamily V Member 4,Protein Coding,Q9HBA0,55,GC12M109783,13.3
1862,HTR2C,5-Hydroxytryptamine Receptor 2C,Protein Coding,P28335,52,GC0XP114584,13.29
1863,RBM7,RNA Binding Motif Protein 7,Protein Coding,Q9Y580,44,GC11P114403,13.29
1864,FBXO4,F-Box Protein 4,Protein Coding,Q9UKT5,42,GC05P041925,13.29
1865,RNF139,Ring Finger Protein 139,Protein Coding,Q8WU17,46,GC08P124474,13.29
1866,PDCD1,Programmed Cell Death 1,Protein Coding,Q15116,54,GC02M241849,13.29
1867,TAT,Tyrosine Aminotransferase,Protein Coding,P17735,52,GC16M071565,13.28
1868,MAP4K1,Mitogen-Activated Protein Kinase Kinase Kinase Kinase 1,Protein Coding,Q92918,50,GC19M038587,13.28
1869,CLASP1,Cytoplasmic Linker Associated Protein 1,Protein Coding,Q7Z460,48,GC02M121337,13.28
1870,PLAT,"Plasminogen Activator, Tissue Type",Protein Coding,P00750,56,GC08M042174,13.28
1871,AKAP8L,A-Kinase Anchoring Protein 8 Like,Protein Coding,Q9ULX6,42,GC19M015380,13.28
1872,IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,O75874,60,GC02M208236,13.27
1873,ENO2,Enolase 2,Protein Coding,P09104,54,GC12P006913,13.27
1874,FABP7,Fatty Acid Binding Protein 7,Protein Coding,O15540,49,GC06P122857,13.27
1875,CYBA,Cytochrome B-245 Alpha Chain,Protein Coding,P13498,54,GC16M088643,13.27
1876,TRAIP,TRAF Interacting Protein,Protein Coding,Q9BWF2,47,GC03M052463,13.27
1877,CCT3,Chaperonin Containing TCP1 Subunit 3,Protein Coding,P49368,48,GC01M156308,13.27
1878,HLA-C,"Major Histocompatibility Complex, Class I, C",Protein Coding,P10321,50,GC06M080880,13.26
1879,RNF144A,Ring Finger Protein 144A,Protein Coding,P50876,45,GC02P006917,13.26
1880,CSN1S1,Casein Alpha S1,Protein Coding,P47710,43,GC04P069950,13.26
1881,CHERP,Calcium Homeostasis Endoplasmic Reticulum Protein,Protein Coding,Q8IWX8,43,GC19M016517,13.25
1882,PEX2,Peroxisomal Biogenesis Factor 2,Protein Coding,P28328,50,GC08M076980,13.25
1883,SART3,"Spliceosome Associated Factor 3, U4/U6 Recycling Protein",Protein Coding,Q15020,43,GC12M108522,13.25
1884,FNBP1,Formin Binding Protein 1,Protein Coding,Q96RU3,45,GC09M129887,13.25
1885,UBR2,Ubiquitin Protein Ligase E3 Component N-Recognin 2,Protein Coding,Q8IWV8,47,GC06P104292,13.25
1886,ALG12,"ALG12 Alpha-1,6-Mannosyltransferase",Protein Coding,Q9BV10,45,GC22M049859,13.25
1887,MRPS7,Mitochondrial Ribosomal Protein S7,Protein Coding,Q9Y2R9,46,GC17P079406,13.25
1888,CHD7,Chromodomain Helicase DNA Binding Protein 7,Protein Coding,Q9P2D1,53,GC08P060678,13.25
1889,SRSF3,Serine And Arginine Rich Splicing Factor 3,Protein Coding,P84103,46,GC06P104237,13.24
1890,TAF4,TATA-Box Binding Protein Associated Factor 4,Protein Coding,O00268,49,GC20M062012,13.24
1891,VAMP7,Vesicle Associated Membrane Protein 7,Protein Coding,P51809,48,GC0XP155881,13.24
1892,CLASP2,Cytoplasmic Linker Associated Protein 2,Protein Coding,O75122,46,GC03M033537,13.24
1893,ARPC2,Actin Related Protein 2/3 Complex Subunit 2,Protein Coding,O15144,49,GC02P218217,13.24
1894,EMC1,ER Membrane Protein Complex Subunit 1,Protein Coding,Q8N766,45,GC01M019215,13.23
1895,SUZ12,SUZ12 Polycomb Repressive Complex 2 Subunit,Protein Coding,Q15022,49,GC17P031937,13.23
1896,MYOM2,Myomesin 2,Protein Coding,P54296,44,GC08P002045,13.23
1897,ERBIN,Erbb2 Interacting Protein,Protein Coding,Q96RT1,46,GC05P065884,13.23
1898,BUB1,BUB1 Mitotic Checkpoint Serine/Threonine Kinase,Protein Coding,O43683,56,GC02M110637,13.23
1899,PRKAG3,Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 3,Protein Coding,Q9UGI9,49,GC02M218823,13.23
1900,FLG,Filaggrin,Protein Coding,P20930,49,GC01M156000,13.23
1901,PNN,"Pinin, Desmosome Associated Protein",Protein Coding,Q9H307,43,GC14P039175,13.23
1902,LGR5,Leucine Rich Repeat Containing G Protein-Coupled Receptor 5,Protein Coding,O75473,50,GC12P071439,13.22
1903,PPM1B,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1B",Protein Coding,O75688,50,GC02P044167,13.22
1904,WEE1,WEE1 G2 Checkpoint Kinase,Protein Coding,P30291,55,GC11P009573,13.22
1905,FGR,"FGR Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,P09769,54,GC01M029410,13.22
1906,LEPR,Leptin Receptor,Protein Coding,P48357,57,GC01P065426,13.22
1907,SFRP2,Secreted Frizzled Related Protein 2,Protein Coding,Q96HF1,46,GC04M153780,13.22
1908,FBXO2,F-Box Protein 2,Protein Coding,Q9UK22,42,GC01M011637,13.22
1909,PPP1R13B,Protein Phosphatase 1 Regulatory Subunit 13B,Protein Coding,Q96KQ4,44,GC14M103733,13.22
1910,FABP6,Fatty Acid Binding Protein 6,Protein Coding,P51161,48,GC05P160187,13.21
1911,NUP205,Nucleoporin 205,Protein Coding,Q92621,46,GC07P135557,13.21
1912,SFTPA2,Surfactant Protein A2,Protein Coding,Q8IWL1,45,GC10M082777,13.21
1913,GRIP1,Glutamate Receptor Interacting Protein 1,Protein Coding,Q9Y3R0,50,GC12M066347,13.2
1914,CCT2,Chaperonin Containing TCP1 Subunit 2,Protein Coding,P78371,49,GC12P069585,13.2
1915,TRIM21,Tripartite Motif Containing 21,Protein Coding,P19474,50,GC11M004384,13.2
1916,GPRASP1,G Protein-Coupled Receptor Associated Sorting Protein 1,Protein Coding,Q5JY77,41,GC0XP102651,13.2
1917,ORAI1,ORAI Calcium Release-Activated Calcium Modulator 1,Protein Coding,Q96D31,51,GC12P128232,13.2
1918,GDF5,Growth Differentiation Factor 5,Protein Coding,P43026,52,GC20M035433,13.2
1919,IKZF1,IKAROS Family Zinc Finger 1,Protein Coding,Q13422,56,GC07P050303,13.19
1920,SNAP91,Synaptosome Associated Protein 91,Protein Coding,O60641,49,GC06M083554,13.19
1921,RPS29,Ribosomal Protein S29,Protein Coding,P62273,49,GC14M049570,13.19
1922,GPSM1,G Protein Signaling Modulator 1,Protein Coding,Q86YR5,42,GC09P136327,13.19
1923,SCARB2,Scavenger Receptor Class B Member 2,Protein Coding,Q14108,53,GC04M076158,13.18
1924,UNC13D,Unc-13 Homolog D,Protein Coding,Q70J99,51,GC17M075827,13.18
1925,C4B,Complement C4B (Chido Blood Group),Protein Coding,P0C0L5,49,GC06P032014,13.18
1926,SERPINA5,Serpin Family A Member 5,Protein Coding,P05154,51,GC14P094563,13.18
1927,FGF1,Fibroblast Growth Factor 1,Protein Coding,P05230,54,GC05M142555,13.18
1928,AKAP3,A-Kinase Anchoring Protein 3,Protein Coding,O75969,42,GC12M005959,13.18
1929,SRF,Serum Response Factor,Protein Coding,P11831,50,GC06P043171,13.17
1930,CALM3,Calmodulin 3,Protein Coding,P0DP25,49,GC19P046601,13.17
1931,NEB,Nebulin,Protein Coding,P20929,47,GC02M151485,13.17
1932,OTULIN,OTU Deubiquitinase With Linear Linkage Specificity,Protein Coding,Q96BN8,48,GC05P014667,13.17
1933,RPN1,Ribophorin I,Protein Coding,P04843,50,GC03M128619,13.17
1934,VPS13C,Vacuolar Protein Sorting 13 Homolog C,Protein Coding,Q709C8,40,GC15M061852,13.17
1935,NOG,Noggin,Protein Coding,Q13253,53,GC17P056593,13.17
1936,PMEL,Premelanosome Protein,Protein Coding,P40967,49,GC12M055954,13.16
1937,PKP2,Plakophilin 2,Protein Coding,Q99959,51,GC12M032790,13.16
1938,MYB,"MYB Proto-Oncogene, Transcription Factor",Protein Coding,P10242,56,GC06P135180,13.16
1939,NAB2,NGFI-A Binding Protein 2,Protein Coding,Q15742,48,GC12P058182,13.16
1940,PTPRZ1,Protein Tyrosine Phosphatase Receptor Type Z1,Protein Coding,P23471,52,GC07P121873,13.16
1941,EP400,E1A Binding Protein P400,Protein Coding,Q96L91,42,GC12P131949,13.15
1942,CFHR5,Complement Factor H Related 5,Protein Coding,Q9BXR6,46,GC01P196977,13.15
1943,PPP2R5B,Protein Phosphatase 2 Regulatory Subunit B'Beta,Protein Coding,Q15173,44,GC11P064918,13.15
1944,SLC19A1,Solute Carrier Family 19 Member 1,Protein Coding,P41440,53,GC21M045493,13.15
1945,LIF,LIF Interleukin 6 Family Cytokine,Protein Coding,P15018,50,GC22M030240,13.15
1946,LIG3,DNA Ligase 3,Protein Coding,P49916,52,GC17P034980,13.15
1947,RNF146,Ring Finger Protein 146,Protein Coding,Q9NTX7,44,GC06P127266,13.15
1948,MARK2,Microtubule Affinity Regulating Kinase 2,Protein Coding,Q7KZI7,52,GC11P063838,13.15
1949,PPP2R5E,Protein Phosphatase 2 Regulatory Subunit B'Epsilon,Protein Coding,Q16537,46,GC14M063371,13.15
1950,DYNC1H1,Dynein Cytoplasmic 1 Heavy Chain 1,Protein Coding,Q14204,52,GC14P112072,13.14
1951,PDLIM5,PDZ And LIM Domain 5,Protein Coding,Q96HC4,46,GC04P094451,13.14
1952,SELENBP1,Selenium Binding Protein 1,Protein Coding,Q13228,50,GC01M151364,13.14
1953,COG7,Component Of Oligomeric Golgi Complex 7,Protein Coding,P83436,45,GC16M023388,13.14
1954,CDK5RAP2,CDK5 Regulatory Subunit Associated Protein 2,Protein Coding,Q96SN8,48,GC09M120388,13.13
1955,SERPING1,Serpin Family G Member 1,Protein Coding,P05155,53,GC11P057597,13.13
1956,ARHGAP24,Rho GTPase Activating Protein 24,Protein Coding,Q8N264,46,GC04P085475,13.12
1957,TRAF3IP2,TRAF3 Interacting Protein 2,Protein Coding,O43734,52,GC06M111555,13.12
1958,TOMM20,Translocase Of Outer Mitochondrial Membrane 20,Protein Coding,Q15388,46,GC01M235109,13.12
1959,EFEMP1,EGF Containing Fibulin Extracellular Matrix Protein 1,Protein Coding,Q12805,51,GC02M055865,13.12
1960,UBE2E1,Ubiquitin Conjugating Enzyme E2 E1,Protein Coding,P51965,48,GC03P023805,13.11
1961,DKK1,Dickkopf WNT Signaling Pathway Inhibitor 1,Protein Coding,O94907,51,GC10P052314,13.11
1962,CRABP1,Cellular Retinoic Acid Binding Protein 1,Protein Coding,P29762,48,GC15P078340,13.11
1963,MIP,Major Intrinsic Protein Of Lens Fiber,Protein Coding,P30301,46,GC12M056449,13.11
1964,PMAIP1,Phorbol-12-Myristate-13-Acetate-Induced Protein 1,Protein Coding,Q13794,45,GC18P059899,13.11
1965,POLGARF,POLG Alternative Reading Frame,Protein Coding,A0A3B3IS91,12,GC15M136658,13.11
1966,PALLD,"Palladin, Cytoskeletal Associated Protein",Protein Coding,Q8WX93,49,GC04P168497,13.11
1967,RALA,RAS Like Proto-Oncogene A,Protein Coding,P11233,53,GC07P039622,13.11
1968,CD14,CD14 Molecule,Protein Coding,P08571,53,GC05M140631,13.09
1969,MT-ATP6,Mitochondrially Encoded ATP Synthase Membrane Subunit 6,Protein Coding,P00846,39,GCMTP008531,13.09
1970,HTR1A,5-Hydroxytryptamine Receptor 1A,Protein Coding,P08908,53,GC05M063960,13.09
1971,NAPG,NSF Attachment Protein Gamma,Protein Coding,Q99747,44,GC18P010516,13.09
1972,MSMB,Microseminoprotein Beta,Protein Coding,P08118,46,GC10M046033,13.09
1973,NASP,Nuclear Autoantigenic Sperm Protein,Protein Coding,P49321,43,GC01P045583,13.08
1974,TRAPPC10,Trafficking Protein Particle Complex Subunit 10,Protein Coding,P48553,46,GC21P044012,13.08
1975,CBX1,Chromobox 1,Protein Coding,P83916,48,GC17M048070,13.08
1976,CRB1,Crumbs Cell Polarity Complex Component 1,Protein Coding,P82279,51,GC01P197208,13.07
1977,TAF7,TATA-Box Binding Protein Associated Factor 7,Protein Coding,Q15545,44,GC05M141278,13.07
1978,CBS,Cystathionine Beta-Synthase,Protein Coding,P35520,57,GC21M043053,13.07
1979,ITPR1,"Inositol 1,4,5-Trisphosphate Receptor Type 1",Protein Coding,Q14643,55,GC03P004486,13.07
1980,STIP1,Stress Induced Phosphoprotein 1,Protein Coding,P31948,52,GC11P064575,13.07
1981,RAB3GAP1,RAB3 GTPase Activating Protein Catalytic Subunit 1,Protein Coding,Q15042,48,GC02P135052,13.07
1982,NUP62,Nucleoporin 62,Protein Coding,P37198,52,GC19M049906,13.07
1983,KDELR2,KDEL Endoplasmic Reticulum Protein Retention Receptor 2,Protein Coding,P33947,46,GC07M006447,13.06
1984,IL36RN,Interleukin 36 Receptor Antagonist,Protein Coding,Q9UBH0,49,GC02P125994,13.06
1985,ID2,Inhibitor Of DNA Binding 2,Protein Coding,Q02363,51,GC02P008678,13.06
1986,PSMD2,"Proteasome 26S Subunit Ubiquitin Receptor, Non-ATPase 2",Protein Coding,Q13200,49,GC03P184298,13.06
1987,NGLY1,N-Glycanase 1,Protein Coding,Q96IV0,50,GC03M025718,13.06
1988,GNAT2,G Protein Subunit Alpha Transducin 2,Protein Coding,P19087,52,GC01M109603,13.05
1989,NUP133,Nucleoporin 133,Protein Coding,Q8WUM0,49,GC01M229885,13.05
1990,TNK2,Tyrosine Kinase Non Receptor 2,Protein Coding,Q07912,53,GC03M195863,13.05
1991,PGK1,Phosphoglycerate Kinase 1,Protein Coding,P00558,56,GC0XP078062,13.05
1992,CENPB,Centromere Protein B,Protein Coding,P07199,45,GC20M003783,13.05
1993,DMAP1,DNA Methyltransferase 1 Associated Protein 1,Protein Coding,Q9NPF5,46,GC01P044214,13.04
1994,CDK12,Cyclin Dependent Kinase 12,Protein Coding,Q9NYV4,53,GC17P039461,13.04
1995,HNRNPDL,Heterogeneous Nuclear Ribonucleoprotein D Like,Protein Coding,O14979,50,GC04M082422,13.04
1996,CD47,CD47 Molecule,Protein Coding,Q08722,51,GC03M108043,13.04
1997,RAD51C,RAD51 Paralog C,Protein Coding,O43502,50,GC17P058692,13.03
1998,SEC63,"SEC63 Homolog, Protein Translocation Regulator",Protein Coding,Q9UGP8,51,GC06M107867,13.03
1999,CAVIN1,Caveolae Associated Protein 1,Protein Coding,Q6NZI2,48,GC17M060860,13.03
2000,HERC1,HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase Family Member 1,Protein Coding,Q15751,46,GC15M063608,13.03
2001,AGT,Angiotensinogen,Protein Coding,P01019,56,GC01M230690,13.02
2002,ABCA7,ATP Binding Cassette Subfamily A Member 7,Protein Coding,Q8IZY2,51,GC19P005591,13.02
2003,SUN2,Sad1 And UNC84 Domain Containing 2,Protein Coding,Q9UH99,46,GC22M068191,13.02
2004,TERF1,Telomeric Repeat Binding Factor 1,Protein Coding,P54274,48,GC08P073008,13.02
2005,FKTN,Fukutin,Protein Coding,O75072,47,GC09P105558,13.02
2006,SAG,S-Antigen Visual Arrestin,Protein Coding,P10523,52,GC02P233413,13.02
2007,HLA-DPB1,"Major Histocompatibility Complex, Class II, DP Beta 1",Protein Coding,P04440,52,GC06P104135,13.02
2008,TOP1,DNA Topoisomerase I,Protein Coding,P11387,56,GC20P041028,13.02
2009,VPS33B,VPS33B Late Endosome And Lysosome Associated,Protein Coding,Q9H267,49,GC15M090998,13.01
2010,IGBP1,Immunoglobulin Binding Protein 1,Protein Coding,P78318,49,GC0XP070133,13.01
2011,WDR5,WD Repeat Domain 5,Protein Coding,P61964,52,GC09P134135,13.01
2012,UGT1A1,UDP Glucuronosyltransferase Family 1 Member A1,Protein Coding,P22309,57,GC02P233760,13.01
2013,GRK1,G Protein-Coupled Receptor Kinase 1,Protein Coding,Q15835,49,GC13P113699,13.01
2014,NCK2,NCK Adaptor Protein 2,Protein Coding,O43639,48,GC02P105744,13.01
2015,SLC34A1,Solute Carrier Family 34 Member 1,Protein Coding,Q06495,51,GC05P179202,13.0
2016,WFS1,Wolframin ER Transmembrane Glycoprotein,Protein Coding,O76024,52,GC04P006269,13.0
2017,NEK2,NIMA Related Kinase 2,Protein Coding,P51955,57,GC01M211658,13.0
2018,POGLUT1,Protein O-Glucosyltransferase 1,Protein Coding,Q8NBL1,48,GC03P119468,13.0
2019,RNF123,Ring Finger Protein 123,Protein Coding,Q5XPI4,44,GC03P049689,13.0
2020,HTR2A,5-Hydroxytryptamine Receptor 2A,Protein Coding,P28223,54,GC13M046831,13.0
2021,NUMB,NUMB Endocytic Adaptor Protein,Protein Coding,P49757,52,GC14M073275,12.99
2022,ELOB,Elongin B,Protein Coding,Q15370,45,GC16M010549,12.99
2023,SPTA1,"Spectrin Alpha, Erythrocytic 1",Protein Coding,P02549,51,GC01M158610,12.99
2024,TRIM5,Tripartite Motif Containing 5,Protein Coding,Q9C035,48,GC11M008346,12.99
2025,RGS11,Regulator Of G Protein Signaling 11,Protein Coding,O94810,45,GC16M000268,12.98
2026,ERP29,Endoplasmic Reticulum Protein 29,Protein Coding,P30040,43,GC12P112013,12.98
2027,MME,Membrane Metalloendopeptidase,Protein Coding,P08473,57,GC03P155024,12.98
2028,PEX10,Peroxisomal Biogenesis Factor 10,Protein Coding,O60683,48,GC01M002403,12.98
2029,PLCG2,Phospholipase C Gamma 2,Protein Coding,P16885,58,GC16P081773,12.98
2030,EPHB2,EPH Receptor B2,Protein Coding,P29323,59,GC01P022710,12.98
2031,NRXN1,Neurexin 1,Protein Coding,Q9ULB1,55,GC02M049918,12.98
2032,UBE2K,Ubiquitin Conjugating Enzyme E2 K,Protein Coding,P61086,48,GC04P039702,12.98
2033,MAX,MYC Associated Factor X,Protein Coding,P61244,54,GC14M065190,12.98
2034,NHLRC1,NHL Repeat Containing E3 Ubiquitin Protein Ligase 1,Protein Coding,Q6VVB1,46,GC06M018120,12.98
2035,PBX1,PBX Homeobox 1,Protein Coding,P40424,55,GC01P164524,12.97
2036,RAC2,Rac Family Small GTPase 2,Protein Coding,P15153,58,GC22M068176,12.97
2037,HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,P04035,53,GC05P075336,12.95
2038,RASGRF1,Ras Protein Specific Guanine Nucleotide Releasing Factor 1,Protein Coding,Q13972,49,GC15M078959,12.95
2039,TERF2IP,TERF2 Interacting Protein,Protein Coding,Q9NYB0,48,GC16P075647,12.94
2040,IL1R1,Interleukin 1 Receptor Type 1,Protein Coding,P14778,53,GC02P102136,12.94
2041,EBNA1BP2,EBNA1 Binding Protein 2,Protein Coding,Q99848,45,GC01M043165,12.94
2042,CHMP5,Charged Multivesicular Body Protein 5,Protein Coding,Q9NZZ3,45,GC09P033257,12.94
2043,SSR4,Signal Sequence Receptor Subunit 4,Protein Coding,P51571,49,GC0XP153793,12.94
2044,CENPJ,Centromere Protein J,Protein Coding,Q9HC77,48,GC13M024882,12.93
2045,MAD1L1,Mitotic Arrest Deficient 1 Like 1,Protein Coding,Q9Y6D9,53,GC07M001815,12.93
2046,USP9X,Ubiquitin Specific Peptidase 9 X-Linked,Protein Coding,Q93008,55,GC0XP041085,12.93
2047,PDGFB,Platelet Derived Growth Factor Subunit B,Protein Coding,P01127,58,GC22M069031,12.93
2048,ARL6IP1,ADP Ribosylation Factor Like GTPase 6 Interacting Protein 1,Protein Coding,Q15041,45,GC16M019712,12.93
2049,SETBP1,SET Binding Protein 1,Protein Coding,Q9Y6X0,47,GC18P044680,12.93
2050,IKBKE,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon,Protein Coding,Q14164,51,GC01P206470,12.93
2051,PADI4,Peptidyl Arginine Deiminase 4,Protein Coding,Q9UM07,51,GC01P017308,12.92
2052,HAPLN1,Hyaluronan And Proteoglycan Link Protein 1,Protein Coding,P10915,49,GC05M083637,12.92
2053,NRBP1,Nuclear Receptor Binding Protein 1,Protein Coding,Q9UHY1,44,GC02P027427,12.92
2054,RAB1A,"RAB1A, Member RAS Oncogene Family",Protein Coding,P62820,48,GC02M065072,12.92
2055,RRBP1,Ribosome Binding Protein 1,Protein Coding,Q9P2E9,45,GC20M017613,12.92
2056,POU5F1,POU Class 5 Homeobox 1,Protein Coding,Q01860,53,GC06M080873,12.92
2057,AP3M1,Adaptor Related Protein Complex 3 Subunit Mu 1,Protein Coding,Q9Y2T2,44,GC10M074120,12.92
2058,ETFA,Electron Transfer Flavoprotein Subunit Alpha,Protein Coding,P13804,52,GC15M133476,12.92
2059,APBA3,Amyloid Beta Precursor Protein Binding Family A Member 3,Protein Coding,O96018,46,GC19M003750,12.91
2060,DNAJC13,DnaJ Heat Shock Protein Family (Hsp40) Member C13,Protein Coding,O75165,47,GC03P132417,12.91
2061,MC1R,Melanocortin 1 Receptor,Protein Coding,Q01726,54,GC16P089912,12.91
2062,CNR1,Cannabinoid Receptor 1,Protein Coding,P21554,53,GC06M088139,12.91
2063,PPIB,Peptidylprolyl Isomerase B,Protein Coding,P23284,57,GC15M064155,12.91
2064,SEC22B,"SEC22 Homolog B, Vesicle Trafficking Protein",Protein Coding,O75396,41,GC01M120150,12.9
2065,ACTC1,Actin Alpha Cardiac Muscle 1,Protein Coding,P68032,51,GC15M034790,12.9
2066,STAMBP,STAM Binding Protein,Protein Coding,O95630,51,GC02P073828,12.9
2067,CEP250,Centrosomal Protein 250,Protein Coding,Q9BV73,47,GC20P035455,12.9
2068,FANCL,FA Complementation Group L,Protein Coding,Q9NW38,53,GC02M058127,12.9
2069,GADD45A,Growth Arrest And DNA Damage Inducible Alpha,Protein Coding,P24522,50,GC01P067685,12.89
2070,MAG,Myelin Associated Glycoprotein,Protein Coding,P20916,54,GC19P035292,12.89
2071,RNF34,Ring Finger Protein 34,Protein Coding,Q969K3,46,GC12P121400,12.88
2072,RAB6A,"RAB6A, Member RAS Oncogene Family",Protein Coding,P20340,48,GC11M109512,12.88
2073,WNK2,WNK Lysine Deficient Protein Kinase 2,Protein Coding,Q9Y3S1,45,GC09P093184,12.88
2074,LDHA,Lactate Dehydrogenase A,Protein Coding,P00338,57,GC11P018394,12.88
2075,TERF2,Telomeric Repeat Binding Factor 2,Protein Coding,Q15554,48,GC16M069355,12.88
2076,SELE,Selectin E,Protein Coding,P16581,50,GC01M169722,12.88
2077,AGR2,"Anterior Gradient 2, Protein Disulphide Isomerase Family Member",Protein Coding,O95994,46,GC07M017227,12.88
2078,ITGA3,Integrin Subunit Alpha 3,Protein Coding,P26006,55,GC17P050055,12.88
2079,RABEP1,"Rabaptin, RAB GTPase Binding Effector Protein 1",Protein Coding,Q15276,46,GC17P005282,12.88
2080,CEBPD,CCAAT Enhancer Binding Protein Delta,Protein Coding,P49716,46,GC08M047759,12.87
2081,DNAJB9,DnaJ Heat Shock Protein Family (Hsp40) Member B9,Protein Coding,Q9UBS3,45,GC07P108569,12.87
2082,FRZB,Frizzled Related Protein,Protein Coding,Q92765,48,GC02M182833,12.87
2083,NAP1L4,Nucleosome Assembly Protein 1 Like 4,Protein Coding,Q99733,44,GC11M002944,12.87
2084,TRAM1,Translocation Associated Membrane Protein 1,Protein Coding,Q15629,46,GC08M070573,12.87
2085,SSB,Small RNA Binding Exonuclease Protection Factor La,Protein Coding,P05455,49,GC02P169791,12.87
2086,EDEM3,ER Degradation Enhancing Alpha-Mannosidase Like Protein 3,Protein Coding,Q9BZQ6,46,GC01M184690,12.86
2087,DCN,Decorin,Protein Coding,P07585,54,GC12M091140,12.86
2088,TAF10,TATA-Box Binding Protein Associated Factor 10,Protein Coding,Q12962,46,GC11M008425,12.86
2089,GADD45GIP1,GADD45G Interacting Protein 1,Protein Coding,Q8TAE8,41,GC19M012953,12.86
2090,FBXL3,F-Box And Leucine Rich Repeat Protein 3,Protein Coding,Q9UKT7,45,GC13M076992,12.86
2091,LDLRAP1,Low Density Lipoprotein Receptor Adaptor Protein 1,Protein Coding,Q5SW96,48,GC01P025543,12.86
